ReviewAuditID,AuditID,UserID,RiderID,RestaurantID,ReviewID
1,4475b938-8348-46ef-9a38-08868fa955ee,45708,472,1192,4122
2,47b06e93-4e60-47df-875b-ad69fbc2ae72,7656,631,8143,7050
3,5a0beb14-96cf-48f4-9b46-97f7569b9551,6797,953,3990,6268
4,a7825a95-14ac-4285-aec7-2fd86b9c1a1f,1908,242,623,5368
5,eb196360-03ee-4f6b-addd-0a4d1ef69caa,3828,645,9124,2501
6,64bdcbaa-a11b-41e1-9cfd-1aef3a0a92dc,16923,815,1224,1530
7,b764e063-2916-4ba1-984f-5842eea01f79,35545,485,2330,5565
8,cacbc163-9fcd-4c79-9d9f-df1203d305ac,34571,393,6479,501
9,6a55a450-47c1-4223-ae49-b2a0754c17da,37743,3,8274,1111
10,15e81d3d-6d27-442b-9dd6-9895381fa547,23105,732,3455,1686
11,6a7789e1-dc68-4c4b-a807-b81ec15f3ddc,7398,316,2055,190
12,6f599857-98ae-46e9-a0a1-1cc2df5c019c,39660,290,8067,8227
13,d7c60c68-0444-4dda-a2aa-4f3f51553802,14485,270,5886,1058
14,7ead25fc-b623-439f-a7e4-31476a9a2d45,13600,600,5834,5948
15,59108085-f882-4183-8cc0-23263173d590,43168,627,530,2957
16,b9083280-23bb-448c-93b1-c12954f2cf06,49031,728,8677,1709
17,394f4cfe-e1f4-4d2c-9c28-85d14881e31b,38272,981,2391,5225
18,078cd0a3-e197-4d1e-af93-d23d6b0334b6,23260,992,244,3308
19,2c0dac8d-bb57-424b-b289-f72dae10661b,41068,492,6119,478
20,368f781c-933d-49c7-b63c-c922635b52a7,19806,195,7565,8013
21,2475b61a-83a0-4b20-befe-1a515b482cac,11079,661,5052,2369
22,aeabe0c3-edaa-405a-a788-9e106bd75ad5,46206,948,6531,9987
23,ff9f03f7-1ae5-45fe-8359-be3edff8d223,41327,118,1677,5099
24,9d55c379-978f-4bd4-af40-0f57cf9efcb0,4612,792,8525,317
25,f73451a6-f0a4-409c-81a3-367f14c5fc05,22657,82,777,8427
26,7c794348-c5b1-4e07-acbb-341f1661e8d5,48253,480,3575,3895
27,1ad68e75-f09f-4d12-b39d-06491cdc2f24,4931,762,9066,3232
28,82dcb010-498b-4c8f-bea1-498dbd98543a,17559,832,8193,6142
29,72941c58-dfd3-4fe6-9126-aa424b7fc69a,35671,341,8702,5143
30,9b2695d7-46c8-49df-bc97-ecfb0d83eaa8,25587,646,9997,6244
31,aa40d993-6939-4546-b495-ed8a83e42179,2688,478,4132,3308
32,de8bd74c-cbd8-4ecb-8e56-33e428ef0fef,11125,934,7833,6581
33,8847355a-2bae-4009-a4fe-9e3e231b8b5b,8858,81,7318,43
34,55f954c4-67c6-472f-bbb5-797379e79a2e,21224,322,2172,4760
35,b4162ba6-384d-4939-a78c-3953e14d4bc5,26820,801,1741,7279
36,d25a85bb-dc6b-41a8-b7da-71b281d99176,32180,589,6617,1340
37,70496df9-a564-4faa-91fe-586e6df55367,13281,743,4324,1266
38,4278a1e3-3ce0-440c-a5ee-c62977567b78,49477,265,3292,1545
39,d41d4859-131f-4d6c-b9f7-9cda7319b455,34812,93,2024,881
40,4ebd6610-cf2a-4713-ba02-02497c66648e,36712,784,4527,8795
41,b7eb40f5-2f80-423e-9334-508a953dc7c4,8496,585,9159,1430
42,c024e107-6c95-4f5a-a533-b2f256b9af75,8413,403,4482,3446
43,f89d978f-e19d-458d-a16e-e3ad393013c8,28699,806,8429,4231
44,acf98ef9-018e-4cc0-926d-1397b1aec049,4906,677,2195,908
45,2413679a-3975-44a3-80bd-9e1602bd4b5b,22250,399,5853,8644
46,76020e75-4778-4b7b-a798-6b3e0f0eeaa0,49970,122,3000,8405
47,39048f66-a6a6-4ab2-af46-2d926b65ff22,15399,703,9759,8260
48,bcc2d3b7-8333-4d11-9814-3254f10f27d8,42132,681,8794,9230
49,e1a30ca3-78fd-4697-aefc-06c5fbee0744,21763,409,4279,8585
50,d3494d35-c448-48d7-b2a6-05659523440b,18873,500,6364,1733
51,f5c1e0c3-538b-4f35-8532-17670c62e57f,25884,437,3568,3463
52,f4b5ef34-7445-4dbf-9216-7201698b76b6,44973,631,4430,8633
53,17e36566-7d67-40f8-8bf2-227287adbcbb,10299,24,59,3581
54,a65f890e-bd79-4841-931b-2e841e253d6a,40440,957,2381,9896
55,41c199ee-7f17-4fd9-9c42-5e0ef57d1528,28411,86,3851,4969
56,f939bc51-aa89-4919-a1d1-52b5c8639ee5,34430,922,8191,7591
57,9201760e-313a-4778-8180-2533aefeb30c,10815,167,6403,7062
58,36a84c58-aea0-4f1b-a856-552b38cea0fa,21795,972,6271,4351
59,87c3d354-cd50-4d19-af1d-1c5bb6d5b423,39789,473,5786,9148
60,bb1e54f0-6651-4f6c-a5f7-4b661bf3faa2,25957,648,2153,3701
61,5968e3c5-72e5-464a-8e68-4fc42642ea2f,21990,27,6699,6804
62,2cca8f0e-7eaa-4ed0-aac0-23b1d3b82fa6,42980,560,1262,288
63,49d70e4b-e233-4467-9884-c6e2c297960c,44399,902,2651,5234
64,3b89d443-d77d-456c-81ad-c0bc5a66d101,28366,987,9642,5072
65,e1c4e1cf-abdb-4311-888e-35196e61120c,8658,749,1416,1222
66,f4659104-eb4f-4c5d-971c-32d2dfa961b5,9226,909,637,4950
67,9ef823ec-dff4-418c-90d3-0543b894dff7,23163,186,868,9304
68,a114c4d5-f9d9-4e74-b6dc-9f4942a786b8,32587,672,2082,3127
69,6f2bffdb-0368-4313-afd9-f9f648eafe7d,35979,688,4563,9893
70,450e23d2-df29-44e1-b056-6dd91f972a10,24892,515,7531,4663
71,e99b6f30-b845-4396-81f6-b17d5655c027,23900,921,5914,5990
72,91be90f4-ce89-4626-949d-394d93d6f0ce,38171,368,5618,1572
73,1bd7c501-6d71-48ef-a830-aef83e4858ca,49106,309,4039,7019
74,1cae73e5-6062-4b0c-82f3-13af2679ed24,14746,831,8158,6881
75,eabe3043-c650-49d2-9566-f1ceb80f30eb,5372,848,3653,4552
76,2434dc0c-6116-449e-b0a6-eb0da3d1bbce,2437,282,1294,5457
77,f5ef45f2-1d3f-4a29-a6f2-076ef30ada31,24252,599,7136,7986
78,5b070356-4fba-49cb-aefa-c8080bad3988,42260,881,8539,5823
79,b8164918-9786-46e9-b072-f1927cd9e7b6,25346,731,2142,8112
80,d0281a51-3aa8-45da-affd-aad11b407362,48164,893,1489,8076
81,1d938742-0f41-40ca-8bc5-be861c3a0f1d,24862,59,4331,4696
82,99c9b5e8-b197-4585-a20d-eacdb16bd3f5,4783,258,8383,7802
83,7658edd3-5713-469d-890a-959817ebc6f8,13406,249,4903,8398
84,2807a95a-c7c0-443d-8888-4f2507374ff7,37380,55,9370,1090
85,04de83e2-a55e-4012-9aaf-441c64986a0d,15138,672,1813,970
86,b53d3af6-798d-456e-8504-3cc1f9f8b22d,132,866,340,5668
87,55262d2d-84fe-40a6-8b53-b8962f85dd69,30459,547,8297,4829
88,ce833bb6-b387-48a4-a42c-1a473808236f,30127,1,9667,3458
89,b137e94e-a9fd-4def-bc88-0434439d1a4f,31547,851,801,9343
90,65d57be8-aba2-4e1e-86c6-146bea40f017,46496,400,2159,379
91,16b983a1-39e3-49b1-91d8-32926da6fbb2,4264,665,3667,3251
92,fe5f746a-add5-4e46-8130-23822a96776a,42520,373,4341,5846
93,2a0b1a67-1ce4-4004-ad4f-ecd2c7b52cf1,22903,915,9435,3906
94,4b319cfd-b557-425f-a40f-8ceb663ac456,48468,301,8000,9970
95,44b8c93f-6314-4a4e-add1-5e0258739880,13902,31,6877,7871
96,3cc43ce3-2429-48d9-8bc9-b47a757ba1a6,29830,588,9366,1711
97,3d897063-2a68-45a3-95ec-8011bf4a78f3,20678,904,7859,9349
98,5ba18349-b87d-49a8-8305-8642127156b1,19748,412,3605,3204
99,8876dcd8-2af3-4d82-8ca0-702f5983a0b4,2537,618,1395,6795
100,02288401-8428-4614-b89c-ff2e131578cd,1096,189,930,8312
101,41850b0d-aa5b-4197-ac4e-95f0cc389bbc,37252,405,2305,31
102,f7e3effb-73f0-4c7b-8eec-1e23c0bb7a12,47438,640,2374,5174
103,a0986097-c9f5-4e7b-93d8-f3b792037550,27625,400,6723,8655
104,511eeb44-bc66-4e6e-9de0-1ffe5189cf83,29113,686,4618,3151
105,eea5f734-6e91-4853-aad2-6a18263397b8,46334,2,1166,7382
106,814fa331-1dd1-45c3-9636-74d38da381f9,26784,910,545,7759
107,dd3563c7-1828-40cf-b1a3-3605c11cbbc1,41938,988,6763,5510
108,da7b2918-b8b4-4d10-a957-231e238aa961,11418,758,7799,3697
109,39467a9b-e653-43f5-8eaf-b22914d299be,48802,641,2277,5783
110,eac9e83d-24ce-483e-9c06-d04cc771b3a7,18501,490,9889,4691
111,bf1de59a-375c-40e4-8d31-5dabd0c6f331,41720,444,6605,3185
112,c5160077-cd2d-4dae-bd0f-38b6213ef76a,27093,115,7003,3554
113,ec9190f4-fcc7-4feb-95f1-b6d9d0ce6c88,22854,765,1642,9900
114,aea87b3b-0340-49f5-a03a-9921459f2403,23533,822,8680,7993
115,ebd46d8f-8e64-4d6d-92ab-662b4a437346,42734,868,5239,8194
116,d395e8b4-cbc5-4719-bb17-3c5079081739,35591,60,6082,7283
117,89c97371-ab12-469e-8572-d0d524161126,16471,915,113,1387
118,382e430f-6dc9-40c6-b37b-ad8e7ed5a70a,29808,365,3805,4334
119,d0ac91b1-aa6f-4774-b6ad-7092bc23240d,12176,344,523,1946
120,bb0a704b-2751-4361-bc83-fe1047769720,23464,848,9964,5320
121,5a4b965d-dd90-4196-b3e3-06f71bc41970,49334,635,3069,3398
122,f08ce67e-5e27-4e72-be83-767ea63864ac,36760,836,4113,3857
123,014abf6f-882a-46eb-8946-4da97a0509d5,20301,81,250,660
124,c5ad27e8-23ed-4ec3-94e8-cf89af94de97,9323,924,4860,8524
125,adbc79df-fc94-4b0f-8384-146f9613b5ef,19302,610,74,4885
126,c290d7de-b86e-4fc6-847a-30191cc007a9,41059,664,6628,9133
127,96593d31-14cf-45b1-85f1-7b7f75dba7d5,29728,980,2382,1003
128,cfd7428f-f937-48ac-a415-68f9b97aff84,28967,788,6847,2687
129,2b1bc0c2-eb1c-4305-aabd-55fe6d71769b,15893,287,6502,6840
130,56f0e9de-764f-41b6-bce5-2426443c9f84,20935,375,7161,7644
131,2a923fff-a9ab-4e4f-90ef-4a0e753b841f,42023,36,2416,5774
