RestaurantID,MenuItemID
1348,907
4490,9730
3312,2974
3897,2482
3083,1125
8823,2166
2961,4563
6970,3242
3015,3576
2611,9004
9789,5293
5281,2641
1521,51
9495,9232
7478,3663
7100,3086
1391,341
9018,5177
1309,4117
2719,925
937,7701
5731,9951
3221,2054
4723,7804
2730,9835
8596,746
271,8627
8416,6618
7639,5330
3214,1581
1809,5745
5890,7402
2850,7338
5943,6206
5180,6160
281,317
2730,7320
3426,815
774,7167
8449,1971
6242,5140
2435,8651
375,4758
3744,7268
9162,9153
9018,9608
3634,2462
6631,7562
9846,7901
7775,397
1581,5857
3582,854
4358,5882
5163,9201
4662,5819
7006,8951
8024,2405
7116,831
5295,9218
8304,3013
6301,2625
9990,6944
7600,1331
2148,4858
6857,3453
1643,1319
7060,7152
2497,7593
3108,1369
1958,9420
3514,3629
40,6530
333,6390
2366,4163
9938,5236
7575,1591
108,1564
334,3366
7798,8056
8895,8529
61,9915
1846,1228
399,3207
3006,9848
428,1155
9077,2122
7397,6273
8764,7907
5562,5300
4257,7305
6896,567
5666,3256
3428,7502
8011,7764
7977,4309
2820,5140
9235,4981
9413,2858
4104,8171
9075,9343
9335,5101
9048,9754
3454,5168
9829,9031
5919,5461
1524,9893
2014,3901
3356,5607
5295,8156
6138,7551
4961,8021
8174,8956
3715,4300
9411,7938
3195,1949
3671,7977
6198,3247
2837,6179
1664,7419
1381,3127
931,308
3028,7344
3889,4364
5455,1571
133,3952
9698,3821
3328,8176
68,4981
5352,4038
8518,3772
4165,3577
3631,6374
3526,6040
6305,435
1383,3566
1702,864
7965,2821
5626,8702
2752,4918
9627,6111
4776,2330
4574,570
605,6377
2094,542
2227,3068
214,4361
6591,8362
9391,1223
3827,8221
1584,7696
1283,4897
2064,9041
2493,8758
9982,4459
4910,3292
8698,913
526,5734
892,8536
814,3301
8925,4279
2589,5974
4628,9551
2038,3843
3639,5842
7974,9487
2983,1499
9250,7836
2527,6169
4459,3200
1427,4507
230,4373
1543,3239
5854,1510
4862,7361
1465,5128
3763,2370
5299,6592
2305,8338
5153,3922
4841,2076
1657,8825
8970,5899
9666,8739
2290,1951
6365,7804
5999,4099
5388,713
1591,2209
7783,7033
3445,1689
6113,2439
6791,4929
8240,8557
3550,3676
6852,2310
39,5924
362,4576
2365,6140
2930,1095
3176,9990
2462,700
1428,380
5905,3451
6737,3567
7472,8679
9643,5904
9078,6226
5702,3731
5530,3267
1867,7053
2959,3419
774,2589
3214,8355
4013,4880
1594,1991
4812,8483
2905,4257
5810,4934
9939,158
9611,4273
6890,8303
5923,8539
2432,4728
3811,7387
1452,5052
6014,9647
1011,8405
1637,3629
5505,9654
7071,1784
3780,1411
1879,6195
1850,7534
6261,2720
9244,2627
6084,7673
4319,2626
7367,210
3808,8636
2047,3459
120,9851
1764,4093
6834,4082
383,9556
9129,5553
5806,5772
2148,9506
6789,1062
28,991
169,5751
1244,9592
7789,152
4542,6276
8026,1817
7374,5697
2841,8914
5783,3225
8314,8137
6273,6173
1051,9729
4833,3151
2921,7292
9153,5738
1526,7766
310,2172
2963,3512
7221,2953
3580,6968
3727,2615
8259,7585
2700,5170
3022,4402
6048,2258
3331,7292
5068,3623
7663,4388
2079,696
8040,4
1525,6557
458,8327
6063,2551
9580,2557
2084,4897
2488,1373
1448,6403
8382,660
1788,2133
3914,8064
6475,3689
7993,2380
2655,6489
3832,5358
3759,5465
2141,9125
7278,6639
777,1285
2654,8965
3381,776
1261,848
7145,4070
5080,1039
6884,1574
9952,474
429,2402
2702,9865
7071,7011
4178,7557
8420,7729
4224,6834
3509,4480
6924,5506
9431,9336
6490,5730
2015,3190
7317,233
6678,7670
4909,9181
6066,9444
5662,9355
5366,2205
4007,4722
7342,4301
8361,2391
3828,4399
8795,3478
8992,2362
3589,4887
5973,6251
9955,3757
6003,3286
9500,9107
7221,9828
9229,3663
3164,6105
9640,884
8813,4751
9823,6574
4113,5261
8514,6630
7124,1873
7412,4300
3117,539
9373,4838
3552,7810
7495,3212
829,8838
1682,8519
7370,1873
5483,1639
4030,9094
1788,8716
1081,6138
5485,5299
8049,8009
4444,3366
9851,5029
5125,7873
648,897
419,8630
8502,370
1764,2063
5355,2643
5865,1551
3071,8275
4495,8281
3355,6399
2894,5285
326,2916
7540,2400
2467,7368
1916,7099
6990,2031
5622,8671
3293,3042
9161,6490
3286,6580
1553,1955
5227,3899
489,8449
3913,1854
9291,5758
3413,5467
4362,5977
4916,4836
9532,2983
4428,6063
639,3248
4597,8315
1713,8274
8837,9628
3956,9011
2456,8264
168,3660
5306,25
1924,460
777,9707
1301,3555
6390,6683
2172,8702
7830,1078
4691,5886
8108,6681
4597,8390
5039,3992
4236,2180
2268,7799
2630,786
2299,8813
9288,2207
4386,4283
2302,7092
9832,7513
3379,4735
2410,3293
8329,6578
8835,1937
9723,9795
5496,185
8620,6926
1169,697
7183,512
8394,9893
4418,7993
427,637
8155,4767
6820,7645
2826,7466
8832,6305
7236,5483
9203,1871
1315,3987
207,6273
4510,5265
4244,2571
2005,3060
9402,6339
4871,4251
2362,9236
978,6122
9969,3984
221,6584
3053,2806
1802,6287
1773,1270
9996,429
5780,2674
7603,9535
3522,1347
2831,9476
7649,731
7487,3002
2527,134
8915,2853
781,7148
9549,8850
4317,4130
2387,4238
3322,8083
8334,8457
6206,938
7187,2370
1141,2655
4256,4640
5535,7326
6646,5618
9244,1495
2345,1804
4704,1815
5004,5820
7228,8211
4263,4109
5023,3883
6720,69
306,70
3171,8048
1558,4516
5015,2982
7873,9577
2979,4623
5082,2965
7665,2472
2658,1501
2221,1463
4741,7536
3840,3816
1468,6109
99,3928
7894,1635
8259,897
7945,512
5514,756
2919,2686
961,2716
8487,8336
3195,467
1578,1792
1778,8713
8506,9906
3085,6148
4756,7107
4529,3576
9154,5059
6708,5781
1512,9329
4093,3467
8523,9039
5598,3411
5306,833
2831,1371
5102,6305
97,4839
7724,7944
8233,2803
7736,3756
4921,5962
4834,5166
47,1222
8140,9297
5310,8385
841,982
5615,3756
7493,3819
6652,1927
7838,8090
5692,1847
9973,4269
2446,7719
2983,9471
7133,6165
1328,8608
2438,4708
6843,3403
5926,1741
331,3930
1952,3152
261,7939
4727,6756
3843,8957
9832,806
7620,4952
7202,5928
1708,3913
9966,7998
9968,8420
6600,9232
5618,856
7093,8232
5409,3454
2168,1394
8614,8226
6523,8893
1217,8385
5017,5070
1758,4714
5812,8483
8804,3630
5460,2455
4028,5984
2258,9611
5658,5876
3542,7423
7065,2796
5338,3755
3695,5869
6672,6207
7682,7743
2668,7306
6100,4908
3776,8732
4594,3863
9737,9942
1511,2636
8967,1808
5352,1144
1301,5267
7772,5465
2046,2769
4636,6070
2478,1865
2575,3324
2259,247
3753,2308
9729,696
3520,6414
6500,9923
9249,3696
8988,2116
552,9553
6524,3801
1156,3000
3944,1764
8486,7436
5757,7341
7385,1197
4624,8868
3087,9685
9586,1527
1857,2987
3865,8995
1342,5107
7970,1277
5057,8723
5723,8365
315,4203
5486,9279
8730,4747
3087,9074
4487,5593
6328,6712
2984,2809
7520,8200
3227,441
7197,1119
5992,7438
1468,1944
5127,7318
8912,5830
3396,2037
9725,163
4008,9363
6948,9555
1408,4246
4738,1526
6803,6118
6987,8694
2697,5523
4643,2439
5356,2397
5360,7599
7828,5634
5573,9452
1554,9779
5175,6887
1818,2134
2679,8878
7894,7235
2410,6912
6052,1043
5866,5587
6263,6735
1641,6434
7618,3675
1638,9982
4906,9236
4065,5855
4438,3771
4851,3367
638,4839
2748,3624
9900,6777
6513,6664
9408,4271
5065,6583
4331,7979
3594,1848
1511,5453
4408,9113
5057,9329
1348,6206
451,7533
2456,4639
5738,3430
8303,5333
4701,9714
5559,4303
247,4360
7949,9752
6550,1104
1170,8933
7140,6860
2059,2662
6573,8271
6221,5650
8063,3982
5874,1868
486,8191
4508,2325
2156,9829
2773,6724
7704,7969
3175,5949
273,3730
9533,4835
961,354
9687,3369
3981,6521
5279,1065
407,2216
5731,9696
2668,922
3050,3638
4179,4856
8652,9683
1489,6720
9938,1400
6805,4884
2444,860
4726,2298
6188,5369
545,1716
2723,9326
3235,8883
858,1213
9527,7945
4030,9084
188,3309
8264,4727
1092,6890
8460,2462
8427,2467
2514,9648
3662,3174
4738,9940
7619,4582
4350,1496
5961,513
8541,7913
1616,3900
4454,8641
4421,3906
8321,1909
9569,6401
365,381
9449,4975
8190,1634
8267,2405
8659,7206
4027,3472
6671,1750
4790,8123
6364,5371
797,5450
1160,2202
9560,2136
2086,9102
8847,4895
