ReviewID,ReviewTime,CommentText,RiderRating,RestaurantRating,OrderID
1,2025-11-20 12:38:49,Reason successful itself view coach beautiful friend.,3,3.1,9874
2,2025-04-28 06:37:05,Hear just politics cell surface movie under.,3,4.1,9540
3,2025-07-31 14:45:05,Industry church my that.,4,4.6,7454
4,2025-03-22 16:13:36,Artist consumer course including knowledge between.,1,4.2,732
5,2025-08-05 00:25:11,Bring and pattern suggest.,2,4.3,6037
6,2025-03-08 17:47:54,Teacher within recently.,3,4.1,964
7,2025-01-14 08:41:12,Red talk line fly no himself.,1,4.6,3590
8,2025-10-28 11:11:37,Me rule stand consider again.,3,3.9,9691
9,2025-01-23 08:16:44,Continue model old improve western room.,1,3.9,9883
10,2025-08-15 17:02:43,Your movie something pull.,3,3.4,5512
11,2025-06-27 03:13:35,Suffer past sister need.,3,4.7,9014
12,2025-07-18 17:39:46,Section economic join gas son.,2,5.0,5324
13,2025-09-19 00:07:29,Effect after call perform positive enter.,2,3.9,7907
14,2025-09-20 03:28:32,Week quite worry magazine billion.,2,3.3,6787
15,2025-01-22 11:43:28,Difficult turn himself political something reality.,4,3.5,6404
16,2025-10-28 23:34:16,Memory one which national get likely key fill.,5,4.2,3135
17,2025-07-10 15:40:37,Action area keep appear simple matter usually.,3,3.5,1737
18,2025-02-09 20:45:39,Sea beat camera sometimes increase office meeting like.,4,4.4,9629
19,2025-11-05 15:29:00,Debate great far ok picture.,4,3.8,9369
20,2025-05-03 17:37:44,We assume them billion law.,1,3.2,6094
21,2025-02-03 20:28:30,Important must determine now meeting chance.,2,3.7,562
22,2025-02-08 10:31:20,Management from three commercial your it know.,4,4.0,4474
23,2025-10-20 00:59:28,Red base market letter.,2,4.0,1114
24,2025-10-25 17:35:13,Out environment all fish cultural early become ready.,4,4.1,7080
25,2025-11-03 03:44:17,Ahead order book tax.,1,4.8,5899
26,2025-08-15 16:47:26,Cause million us tax begin entire pull.,1,4.3,8449
27,2025-01-29 10:01:23,Lead hope quite computer painting.,1,4.0,5686
28,2025-04-03 13:03:15,Hair simply write college center three.,5,3.1,5874
29,2025-09-11 13:30:44,Season front wonder hand marriage forward.,3,4.8,2404
30,2025-08-08 17:23:46,Laugh seek goal per.,4,5.0,3775
31,2025-08-23 20:33:25,Degree bit effect leg nice tell.,4,4.2,9685
32,2025-05-23 10:07:13,Response school home sense.,3,4.4,9996
33,2025-01-15 11:57:07,Air voice order Republican.,2,4.2,5581
34,2025-05-14 10:22:29,Class offer lead range forget itself.,4,4.8,6787
35,2025-03-05 21:21:41,Collection material piece consider meet.,2,4.5,8929
36,2025-05-24 19:20:48,City themselves toward source do entire wish.,1,3.7,9473
37,2025-01-07 19:52:56,Responsibility reason she.,1,3.5,621
38,2025-05-16 12:24:20,Man sound situation once phone.,2,4.3,8626
39,2025-06-22 07:17:02,Require just type degree big around reach certain.,1,3.7,4706
40,2025-05-12 15:41:51,Station with matter few reality defense until.,1,3.4,576
41,2025-11-07 18:13:08,Defense only dinner eye.,4,4.0,1064
42,2025-10-01 00:07:49,Determine community moment describe business religious.,3,3.1,377
43,2025-09-25 13:03:56,Share morning hope beyond.,3,4.4,8476
