CategoryID,CategoryName
1,Few Category
2,Item Category
3,Against Category
4,Skill Category
5,Career Category
6,Cost Category
7,Set Category
8,Research Category
9,More Category
10,Bring Category
11,Peace Category
12,Purpose Category
13,Through Category
14,Her Category
15,Matter Category
16,Try Category
17,Road Category
18,Push Category
19,Create Category
20,Contain Category
21,Medical Category
22,Still Category
23,Loss Category
24,Early Category
25,Debate Category
26,Chair Category
27,Father Category
28,Raise Category
29,Over Category
30,Project Category
31,Down Category
32,Very Category
33,Way Category
34,Deal Category
35,Drive Category
36,Air Category
37,Fill Category
38,Prove Category
39,Day Category
40,Natural Category
41,Body Category
42,Town Category
43,Shake Category
44,Could Category
45,Staff Category
46,Industry Category
47,Child Category
48,Whether Category
49,All Category
50,Send Category
51,Land Category
52,Will Category
53,Follow Category
54,Go Category
55,Forward Category
56,Nature Category
57,Open Category
58,Behavior Category
59,Truth Category
60,Let Category
61,Help Category
62,Market Category
63,Impact Category
64,Social Category
65,Popular Category
66,Medical Category
67,Speech Category
68,Former Category
69,Wish Category
70,Business Category
71,Process Category
72,Seat Category
73,Budget Category
74,Education Category
75,Girl Category
76,Mr Category
77,Before Category
78,Stock Category
79,Into Category
80,General Category
81,Learn Category
82,Less Category
83,Tv Category
84,Candidate Category
85,Develop Category
86,Light Category
87,Enjoy Category
88,Each Category
89,Person Category
90,Particularly Category
91,Management Category
92,Long Category
93,Position Category
94,Risk Category
95,Long Category
96,Deep Category
97,Reduce Category
98,Onto Category
99,Well Category
100,Hear Category
