MenuItemID,OrderID
9077,5854
2010,6598
3959,1058
252,1212
2066,8160
5770,1516
3010,7277
1117,3197
8610,9761
9581,8480
7666,714
2624,5854
9912,2368
99,1381
7886,2121
9602,9097
6847,8837
2848,323
6895,2245
3001,6526
513,3500
6175,5535
51,8206
5761,5518
1185,710
267,6079
4655,8883
9300,8257
2023,5428
4569,2706
9777,7806
3756,650
7414,2017
2284,877
3089,6591
7310,7791
6394,6282
7811,2956
5008,3748
833,666
9708,3118
8614,9674
4250,9330
6992,956
2039,7261
1100,7263
9164,412
8036,450
7639,4537
1524,8168
6269,2266
2303,5313
783,3634
6593,8384
5485,4362
7029,8854
9715,2980
8959,2163
5786,2541
4895,6864
2579,2583
1825,4219
6780,4871
18,1994
5675,9667
8488,8670
3466,5510
7413,335
9032,6044
7174,3529
341,2590
9964,1066
4214,6577
7886,1551
2582,9168
4014,9322
7581,3109
6557,6684
553,7951
8689,2455
1814,2025
9418,2798
3715,9674
3283,3859
4575,5550
7569,3174
7355,5797
7078,7494
6826,3803
4925,2933
6749,1304
1083,1616
3703,9725
6179,9521
6963,6608
1361,3160
8658,8510
2173,7636
7846,1337
6822,9086
5235,4977
7761,1470
1633,6093
1154,5932
8133,2620
3893,5927
4954,1241
2659,9010
9938,574
9734,4904
4888,149
2654,298
4484,3514
3820,5463
9389,1199
8645,3237
974,3270
208,3399
5176,7929
7185,2419
5165,1966
5366,1080
2595,9475
9685,9522
7856,7135
7030,7269
738,3603
9115,4752
1525,4816
6340,7223
92,4043
8711,7534
8081,4863
7162,7728
8324,6793
7240,3881
9437,8457
1499,2264
8699,2342
5768,9990
9807,5659
6002,8775
4998,2937
2503,433
1205,3183
3136,716
8378,3290
1167,2370
5681,1486
7296,4884
6398,6222
9789,7019
1875,2531
9544,2713
5342,8389
2041,3171
6811,6805
2116,6209
4233,4064
3431,9748
8857,9120
6221,2154
3460,3271
9955,9407
5256,6636
8511,6306
1437,974
3664,9059
9043,5016
1295,6847
200,6044
5989,9482
7640,1848
8185,5548
180,2973
8852,3217
7054,4009
2555,832
1814,4865
5271,6117
6817,8492
7328,4440
5018,8558
4886,285
1064,4008
2513,2093
3265,2284
4681,7883
230,3422
8505,3298
2458,1246
4146,6305
9014,9910
3550,1837
8838,7475
4500,378
3883,8278
3306,2533
5897,4106
3403,7164
7265,39
1891,6432
3873,2060
7942,9709
1102,5148
4464,9376
4040,5553
6277,964
5233,1700
941,3407
3608,5638
7223,1152
6669,1878
1136,9952
3192,8863
4900,544
6115,4470
9712,8588
4518,8656
8249,5607
321,1026
5279,3432
4593,7815
8937,1966
4618,2761
4229,7617
6074,8428
9442,7184
8939,6096
9182,3172
8226,8703
3990,7517
8182,8331
1059,3116
6912,8369
5283,9312
720,3750
1516,2900
9009,4834
4358,1003
9499,7913
5729,5843
1888,8165
5389,69
2024,8086
2031,898
4072,1037
2158,1431
135,2053
3206,5944
8654,6221
4379,679
7164,9419
1151,4985
3924,1509
2811,2687
8099,566
6286,8774
39,6288
7006,8690
1097,890
2082,8393
6397,8671
3694,5354
3300,2716
3192,6463
8027,1004
3303,707
6433,2811
7425,1130
9053,3572
9677,8097
6895,9454
6804,4495
6047,717
5674,7499
2781,2861
8626,5686
67,2778
688,3604
1175,5950
293,8919
5413,5987
7194,9308
4161,7168
4025,9653
8241,330
7570,7433
7836,545
2397,8149
6636,2789
9873,790
3730,5482
7345,3495
5449,7852
7241,634
41,9500
2813,7677
5526,9584
3308,9954
8899,3955
7607,2419
5935,201
9664,7309
6391,9003
4289,9275
6409,3518
7493,9442
8425,1053
7763,3761
9379,633
9172,1770
6811,8907
2562,9974
9254,8687
7929,6745
4749,1551
6292,6672
4577,6958
2719,4950
8911,126
261,149
1755,4315
9860,3809
2897,2352
9763,5655
8676,7279
9936,6513
5441,4918
799,9685
6618,261
8480,1411
5814,3665
345,636
6844,22
2711,5581
7326,7105
5388,5471
3904,6517
348,7566
2485,9935
2932,4747
1457,1411
6745,1450
8600,8958
9024,6184
7866,3308
5347,4172
9802,8895
9144,3526
9526,8995
8779,7302
4708,9141
8672,6457
6327,4477
7471,3304
7128,2531
3952,1844
3688,140
835,2080
7226,31
4624,8285
8698,9509
5216,4901
8728,4160
5079,1123
9032,5945
4746,2411
9986,3562
8138,3875
885,4633
7649,185
2440,6644
2047,5908
1,7072
4876,725
9511,7854
3179,2525
3591,6197
2503,2483
695,2506
6906,5258
9482,1522
238,155
3308,1601
566,8530
7806,4835
3494,8060
793,1799
2548,3199
5212,7331
4669,6086
7518,6438
7658,4207
1355,1871
9697,4199
9238,1464
1408,3648
9222,8168
7821,1824
353,8638
68,492
6339,7764
7817,6846
2839,5066
8272,1287
6940,136
1710,2643
2304,4327
618,6609
5566,7848
7797,4501
5129,4914
6506,6551
2467,666
8926,8173
6737,7010
1563,7401
8154,7024
4605,2154
6807,613
1962,7011
287,5654
