MenuItemID,ItemName,ItemImage,ItemDescription,Price,MonthlySales,RestaurantID,CategoryID,StockStatus
1,Ask,https://placekitten.com/303/113,Recently nor remember bad seat network.,53.55,38,8272,34,Out of Stock
2,Buy,https://dummyimage.com/322x11,Open interest including list assume son well.,53.64,123,5743,75,Out of Stock
3,Industry,https://dummyimage.com/584x584,Suddenly provide lot around person wait.,37.02,50,8190,3,Limited
4,Several,https://picsum.photos/305/993,Spend appear smile expect.,46.5,312,4178,41,Out of Stock
5,Hospital,https://dummyimage.com/754x624,Five rock moment something open.,6.26,425,1631,32,Out of Stock
6,Maintain,https://dummyimage.com/858x734,Design service business knowledge recent.,82.38,70,9600,48,Limited
7,View,https://picsum.photos/222/480,Learn sound shoulder too ok.,19.48,152,7596,100,Out of Stock
8,Every,https://dummyimage.com/294x377,Live return member focus.,37.64,189,7075,97,Out of Stock
9,Country,https://placekitten.com/60/747,Table government catch issue.,79.63,470,6371,66,In Stock
10,Various,https://picsum.photos/966/521,Feeling source action budget finish.,11.86,314,1773,72,Limited
11,Design,https://picsum.photos/106/919,Notice stuff best amount market method.,19.28,208,6834,61,Out of Stock
12,Enter,https://dummyimage.com/705x513,Sense tough safe according room blue community.,66.55,424,7678,96,Out of Stock
13,Effect,https://dummyimage.com/156x667,Show anyone role scene onto produce scene.,34.78,400,7236,68,In Stock
14,Set,https://picsum.photos/1009/96,Series stock government.,86.99,53,9495,45,In Stock
15,Mind,https://picsum.photos/875/556,Building me yet.,26.75,436,5791,90,Limited
16,Million,https://picsum.photos/19/850,Agree will red local film high back.,29.36,143,1511,66,Limited
17,Sign,https://dummyimage.com/682x312,Theory may health air.,92.9,186,6315,5,In Stock
18,Support,https://picsum.photos/29/44,Box short fish into prevent.,27.09,348,630,6,Out of Stock
19,Job,https://picsum.photos/417/60,Protect right street court federal.,7.41,242,5207,25,Limited
20,Light,https://placekitten.com/147/123,Man style glass view approach right.,33.93,399,6368,64,In Stock
21,Piece,https://picsum.photos/660/717,Very kind picture whatever.,44.95,206,6491,85,Limited
22,Pattern,https://placekitten.com/647/161,Name idea some magazine.,46.25,319,5459,2,Limited
23,Board,https://picsum.photos/833/459,First could begin minute too window itself.,5.58,481,5198,77,Out of Stock
24,Draw,https://picsum.photos/385/987,Into feel tend window major.,42.05,16,7464,49,Limited
25,Data,https://picsum.photos/262/372,Leg street yet authority listen.,96.2,4,9211,28,In Stock
26,Kitchen,https://placekitten.com/733/530,Common drug test perhaps civil maybe help beyond.,46.09,441,5140,50,Out of Stock
27,Option,https://dummyimage.com/652x762,Success attorney threat party.,76.76,193,9387,58,In Stock
28,Those,https://dummyimage.com/815x516,Performance subject sister window different begin.,48.44,291,7416,89,Limited
29,Sell,https://placekitten.com/262/9,Front political old focus.,53.82,210,5711,63,In Stock
30,Total,https://placekitten.com/792/979,Style kid fast attention black.,67.53,192,2258,54,In Stock
31,Care,https://placekitten.com/52/433,Tell item anyone rather year clearly reach.,15.33,235,8390,8,In Stock
32,World,https://dummyimage.com/651x819,Region together finish.,24.19,271,7945,100,Out of Stock
33,Later,https://placekitten.com/124/533,Head deal how interview beyond traditional.,89.39,449,4080,98,Limited
34,Next,https://picsum.photos/371/847,Opportunity scientist actually remain.,44.66,478,3079,59,Limited
35,On,https://placekitten.com/27/271,Chance your reality give give.,52.52,374,4165,88,Out of Stock
36,Rich,https://dummyimage.com/112x320,Fact fear mission painting lose.,51.85,495,2552,46,In Stock
37,According,https://dummyimage.com/172x1021,Everything third sell investment.,99.24,281,3237,74,Out of Stock
38,Hot,https://dummyimage.com/324x352,Drug green go create around.,49.77,314,4091,35,Out of Stock
39,Down,https://picsum.photos/981/79,Speech animal by some film include.,59.43,457,6975,35,Limited
40,Choice,https://dummyimage.com/195x731,Feel late cold remain.,27.85,38,2360,69,In Stock
41,Possible,https://placekitten.com/901/780,Organization mouth catch suddenly political blue.,80.56,94,3281,85,Limited
42,Generation,https://placekitten.com/274/131,Before peace treat yourself rather machine we wall.,83.12,427,2456,32,Limited
43,You,https://dummyimage.com/570x284,Reflect kid dream environmental middle they student board.,11.55,220,9926,78,Out of Stock
44,Total,https://placekitten.com/106/18,Ten writer five food.,73.52,186,651,58,In Stock
45,Window,https://placekitten.com/290/364,Various there chair billion.,55.65,16,6738,83,Limited
46,News,https://picsum.photos/460/614,Better policy most down fact.,88.53,479,6878,70,Out of Stock
47,Last,https://picsum.photos/94/683,Can sense allow production line avoid case.,26.41,119,4413,16,Limited
48,Spring,https://placekitten.com/728/251,Cost late machine third hour nation movie.,17.06,489,5030,44,Limited
49,Open,https://dummyimage.com/860x95,Than son success time contain plan.,95.22,429,712,100,Limited
50,All,https://picsum.photos/478/911,Cause reason life draw door also.,12.99,65,3165,34,Out of Stock
51,Quite,https://placekitten.com/940/751,Trip keep smile face those share.,61.52,3,1337,85,Out of Stock
52,Attention,https://placekitten.com/471/126,Space good several easy single.,46.68,28,9771,39,In Stock
53,Other,https://picsum.photos/979/501,Necessary down explain painting specific evening hotel.,83.12,491,7240,95,Limited
54,Then,https://dummyimage.com/153x910,Citizen keep later put gun.,13.17,65,8099,8,In Stock
55,Recognize,https://picsum.photos/103/186,Sport audience piece dark cause every feel green.,73.76,99,4087,7,Out of Stock
56,Realize,https://placekitten.com/101/70,Sister yet left type.,88.92,269,3792,22,Out of Stock
57,Raise,https://picsum.photos/712/852,Could force draw son southern.,45.5,319,387,69,Out of Stock
58,Poor,https://picsum.photos/879/23,Guess wish authority movie response address I trial.,25.51,67,3349,95,Out of Stock
59,Difficult,https://placekitten.com/789/349,Tend benefit society letter local.,30.31,285,1094,99,In Stock
60,Community,https://picsum.photos/483/696,Beat only total former expect major traditional.,16.69,338,1768,42,Limited
61,Day,https://dummyimage.com/52x480,Apply community knowledge.,94.06,183,6867,10,Limited
62,Determine,https://dummyimage.com/566x946,Beyond case if three recognize shake point score.,62.07,231,4180,34,Limited
63,Yourself,https://dummyimage.com/295x32,Week why among.,92.05,153,4856,88,Limited
64,Agreement,https://picsum.photos/115/258,Company discuss animal suddenly anyone.,45.83,397,2416,23,Out of Stock
65,Fill,https://dummyimage.com/16x346,Cultural traditional kind thus.,46.82,263,7363,30,In Stock
66,Require,https://placekitten.com/44/151,Daughter four fly north meeting may claim.,55.2,353,6592,65,Out of Stock
67,Together,https://dummyimage.com/739x48,One around tough do.,55.7,152,9723,69,Limited
68,Party,https://placekitten.com/937/143,Others nature Democrat camera.,54.94,409,7887,80,Limited
69,Senior,https://placekitten.com/400/26,Free choose the car mean live.,35.3,281,3715,75,Out of Stock
70,Herself,https://placekitten.com/20/705,Cell catch pay arm character military by.,13.44,404,1910,56,In Stock
71,Painting,https://picsum.photos/154/723,Couple true western baby arm arm its.,52.38,295,5386,48,Out of Stock
72,That,https://placekitten.com/324/900,Enter land include expect human onto.,52.52,3,7745,27,Out of Stock
73,Series,https://placekitten.com/543/1011,Ready size must he forget respond over stand.,97.52,220,341,86,Limited
74,Between,https://picsum.photos/959/316,Wife box during.,7.87,340,3621,68,Out of Stock
75,Special,https://picsum.photos/4/757,Grow account let wrong.,24.89,443,8770,1,Limited
76,Drop,https://dummyimage.com/703x75,National particularly from.,82.18,125,472,2,Out of Stock
77,Move,https://picsum.photos/57/276,Industry century lawyer prepare somebody knowledge.,48.09,38,6298,35,Out of Stock
78,There,https://dummyimage.com/421x180,General right return nor huge.,69.78,369,1795,5,Limited
79,Film,https://placekitten.com/456/664,General somebody reach voice lay.,84.27,180,5169,94,In Stock
80,Memory,https://dummyimage.com/638x796,Campaign enter these nearly.,32.64,262,6742,63,Limited
81,Tax,https://placekitten.com/551/170,Rate type develop account.,76.19,364,4148,91,Limited
82,Region,https://dummyimage.com/11x326,Firm land population himself the.,44.63,74,40,60,In Stock
83,Mention,https://dummyimage.com/706x721,Small bag establish standard into.,45.37,226,2470,4,Limited
84,Tv,https://picsum.photos/357/969,Defense baby anyone walk us Republican each.,53.41,159,5093,95,Limited
85,Responsibility,https://placekitten.com/727/633,Better visit also building point general.,78.7,92,2935,57,Limited
86,Tonight,https://picsum.photos/604/494,Research street actually none especially.,25.58,361,3100,38,Limited
87,Data,https://picsum.photos/216/602,Change the window herself however something.,42.98,402,7717,22,In Stock
88,Blood,https://dummyimage.com/958x443,Natural director speech member something management tonight court.,22.14,423,785,24,Out of Stock
89,From,https://dummyimage.com/400x838,Nation crime because actually seat.,53.74,269,223,88,In Stock
90,Once,https://placekitten.com/607/727,Key good everybody show break.,61.05,103,6756,85,Limited
91,Well,https://dummyimage.com/382x93,Site or sort produce customer tonight number likely.,46.83,330,140,55,In Stock
92,This,https://picsum.photos/465/577,Write pick significant authority executive.,56.37,211,3492,92,Out of Stock
93,Improve,https://placekitten.com/906/690,Among measure success who subject exist leader.,27.77,286,1659,66,Limited
94,Player,https://placekitten.com/966/421,Look company within dog lawyer account.,97.55,394,3809,69,In Stock
